position	instrument	groups
GONGS	GONGS	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
KEMPLI	KEMPLI	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
CENGCENG	CENGCENG	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
KENDANG	KENDANG	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
JEGOGAN	JEGOGAN	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
CALUNG	CALUNG	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
PENYACAH	PENYACAH	["GONG_KEBYAR"]
PEMADE_POLOS	PEMADE	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
PEMADE_SANGSIH	PEMADE	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
KANTILAN_POLOS	KANTILAN	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
KANTILAN_SANGSIH	KANTILAN	["GONG_KEBYAR", "SEMAR_PAGULINGAN", "GONG_PELEGONGAN"]
UGAL	UGAL	["GONG_KEBYAR", "SEMAR_PAGULINGAN"]
GENDERRAMBAT	GENDERRAMBAT	["GONG_PELEGONGAN"]
GENDERWAYANG_POLOS	GENDERWAYANG	["GENDER_WAYANG"]
GENDERWAYANG_SANGSIH	GENDERWAYANG	["GENDER_WAYANG"]
REYONG_1	REYONG	["GONG_KEBYAR", "GONG_PELEGONGAN"]
REYONG_2	REYONG	["GONG_KEBYAR", "GONG_PELEGONGAN"]
REYONG_3	REYONG	["GONG_KEBYAR", "GONG_PELEGONGAN"]
REYONG_4	REYONG	["GONG_KEBYAR", "GONG_PELEGONGAN"]
TROMPONG	TROMPONG	["GONG_KEBYAR", "SEMAR_PAGULINGAN"]